Gauge,Month,multiplier
2F05P,2,1.0893086969497519
2F05P,3,1.1090173301272963
2F05P,4,1.1106212201249557
2F05P,5,1.2094355050540215
2F08P,2,0.9217893941580347
2F08P,3,1.029984584378152
2F08P,4,0.9695660529754276
2F10P,2,1.184453704765297
2F10P,3,1.1461680476960885
2F10P,4,1.1321573304103358
2F10P,5,1.4575139852037267
2F12,2,0.9731860637925137
2F12,3,0.9731966248979392
2F12,4,1.0895705636065467
2F12,5,1.0273269739590298
2F19,2,0.6415912963841681
2F19,3,0.5646490313610872
2F19,4,0.5995449031726199
2F19,5,0.7647162380476895
KalWoodLake,2,0.5850166395920995
KalWoodLake,3,0.690574150054719
KalWoodLake,4,0.7762013246615925
KalWoodLake,5,0.7752750901312747
OkanaganLake,2,0.438743437910427
OkanaganLake,3,0.5292970565152965
OkanaganLake,4,0.6338992391288694
OkanaganLake,5,0.713839670405098
