Gauge_No.,Name,ShortName,Drainage_Area_km2,Status_WSC,Status_SG
08NM153,DeepCreek,DeepCreek,306,Regulated,Regulated
08NM161,EquesisCreek,EquesisCreek,52.8,Unregulated,Unregulated
08NM174,WhitemanCreekaboveBouleauCreek,WhitemanCreek,114,Unregulated,Unregulated
08NM157,PowersCreek,PowersCreek,144,Regulated,Regulated
08NM155,TrepanierCreek,TrepanierCreek,254,Regulated,Regulated
08NM159,PeachlandCreek,PeachlandCreek,150,Regulated,Regulated
08NM158,TroutCreek,TroutCreek,764,Regulated,Regulated
08NM150,ShingleCreek,ShingleCreek,308,Regulated,Regulated_P
08NM118,PentictonCreek,PentictonCreek,177,Regulated,Regulated_P
08NM171,VaseuxCreekaboveSolcoCreek,VaseuxCreek,117,Unregulated,Unregulated
08NM246,VaseuxCreek,VaseuxCreek_mouth,296,Unregulated,Unregulated
08NM200,InkaneepCreek,InkaneepCreek,227,Regulated,Regulated
08NM142,ColdstreamCreekabovemunicipalintake,ColdstreamCreek,60.6,Unregulated,Unregulated
08NM232,BelgoCreekbelowHildaCreek,BelgoCreek,70.7,Regulated,Regulated
08NM233,MissionCreekabovePearsonCreek,MissionCreek_Pearson ,233,Regulated,Regulated_P
08NM116,MissionCreeknearEastKelowna,MissionCreek_EastKelowna,795,Regulated,Regulated
08NM146,ClarkCreeknearWinfield,ClarkCreek,15.3,Unregulated,Unregulated
08NM160,VernonCreeknearthemouth,VernonCreek,751,Regulated,Regulated
12439500,OkanoganRiveratOrovilleWA,OkanoganRiver_USA,8275,Regulated,Regulated
08NM050,OkanaganLake,OkanaganLake,5980,Regulated,Regulated
08NM065,WoodandKalamalkaLake,Wood_Kalamalka,569,Regulated,Regulated
08NM247,OkanaganbelowMcIntyreDam,OkanaganRiver,7150,Regulated,Regulated
08NM134,CampCreek,CampCreek,34.6,Unregulated,Unregulated
08NM022,VernonCreekatoutletofSwalwellLake,VernonCreek,62.4,Regulated,Regulated
08NM037,ShatfordCreek,ShatfordCreek,101,Regulated,Regulated_P
08NM173,GreataCreek,GreataCreek,40.7,Unregulated,Unregulated
08NM020,BXCreekaboveVernonIntake,BXCreekaboveVernonIntake,55.7,Regulated,Regulated
